job_id,title,career_cluster,company_name,region,city,salary,experience_level,education_required,technical_skills,soft_skills,preferred_traits,work_arrangement,company_size,industry_growth,posting_date,applications_received,job_views,save_rate,job_description
1,Pharmacist,Healthcare,Company 1,Australia,Melbourne,141222,Manager,Master's Degree,"Healthcare Regulations, Electronic Health Records, Laboratory Techniques, Medical Terminology, Medical Software, Chemistry","Teamwork, Communication, Leadership","People-oriented, Outgoing, Creative",Hybrid,Enterprise (10000+),Moderate Growth,2025-03-31,194,970,0.32,"This is a Manager Pharmacist position requiring expertise in Healthcare Regulations, Electronic Health Records, Laboratory Techniques, Medical Terminology, Medical Software, Chemistry. The ideal candidate should have strong Teamwork, Communication, Leadership skills and be People-oriented, Outgoing, Creative."
2,Audio Engineer,Creative Arts,Company 2,Africa,Lagos,132856,Senior,Master's Degree,"Photoshop, UI/UX, Unreal Engine, After Effects, Unity","Work Ethic, Creativity, Attention to Detail, Conflict Resolution","Practical, Task-oriented, Detail-oriented",Remote,Medium (201-1000),Slow Growth,2025-04-03,22,198,0.08,"This is a Senior Audio Engineer position requiring expertise in Photoshop, UI/UX, Unreal Engine, After Effects, Unity. The ideal candidate should have strong Work Ethic, Creativity, Attention to Detail, Conflict Resolution skills and be Practical, Task-oriented, Detail-oriented."
3,Educational Consultant,Education,Company 3,Africa,Lagos,269734,Executive,PhD,"Online Course Development, Instructional Design, Learning Management Systems, Classroom Management, Assessment, Educational Technology","Time Management, Problem Solving","Cautious, Task-oriented",On-site,Startup (1-50),Stable Growth,2025-03-30,420,4200,0.16,"This is a Executive Educational Consultant position requiring expertise in Online Course Development, Instructional Design, Learning Management Systems, Classroom Management, Assessment, Educational Technology. The ideal candidate should have strong Time Management, Problem Solving skills and be Cautious, Task-oriented."
4,Chemist,Science & Research,Company 4,Australia,Brisbane,141302,Senior,Bachelor's Degree,"Research Methods, Laboratory Techniques, Scientific Writing, Data Analysis, R","Self-Motivation, Adaptability, Critical Thinking, Creativity","Detail-oriented, Cautious",Flexible,Enterprise (10000+),High Growth,2025-03-31,126,1134,0.29,"This is a Senior Chemist position requiring expertise in Research Methods, Laboratory Techniques, Scientific Writing, Data Analysis, R. The ideal candidate should have strong Self-Motivation, Adaptability, Critical Thinking, Creativity skills and be Detail-oriented, Cautious."
5,Content Creator,Creative Arts,Company 5,Africa,Lagos,128410,Manager,Certification,"Sketch, Adobe Creative Suite, Unity","Creativity, Teamwork","Organized, Collaborative, Outgoing",Remote,Startup (1-50),High Growth,2025-03-08,88,616,0.36,"This is a Manager Content Creator position requiring expertise in Sketch, Adobe Creative Suite, Unity. The ideal candidate should have strong Creativity, Teamwork skills and be Organized, Collaborative, Outgoing."
6,Special Education Teacher,Education,Company 6,Asia,Seoul,115288,Senior,Master's Degree,"Online Course Development, Curriculum Development, Assessment, Instructional Design, Classroom Management","Emotional Intelligence, Leadership","Practical, Adaptable",Hybrid,Medium (201-1000),Emerging Field,2025-03-10,218,2180,0.29,"This is a Senior Special Education Teacher position requiring expertise in Online Course Development, Curriculum Development, Assessment, Instructional Design, Classroom Management. The ideal candidate should have strong Emotional Intelligence, Leadership skills and be Practical, Adaptable."
7,Product Manager,Business,Company 7,Asia,Seoul,267809,Executive,Associate's Degree,"SQL, Marketing, Google Analytics, PowerBI","Creativity, Critical Thinking, Self-Motivation","Adaptable, Outgoing",On-site,Medium (201-1000),Emerging Field,2025-03-26,306,1530,0.25,"This is a Executive Product Manager position requiring expertise in SQL, Marketing, Google Analytics, PowerBI. The ideal candidate should have strong Creativity, Critical Thinking, Self-Motivation skills and be Adaptable, Outgoing."
8,Video Editor,Creative Arts,Company 8,South America,Bogota,109372,Mid-level,PhD,"Unreal Engine, Color Theory, Photoshop","Problem Solving, Self-Motivation","Methodical, Analytical, Cautious",Hybrid,Enterprise (10000+),Stable Growth,2025-03-20,458,3664,0.21,"This is a Mid-level Video Editor position requiring expertise in Unreal Engine, Color Theory, Photoshop. The ideal candidate should have strong Problem Solving, Self-Motivation skills and be Methodical, Analytical, Cautious."
9,Graphic Designer,Creative Arts,Company 9,Asia,Shanghai,146570,Manager,High School,"Photoshop, Unreal Engine, 3D Modeling, Color Theory","Adaptability, Attention to Detail","Organized, Risk-taker, Visionary",Hybrid,Startup (1-50),Moderate Growth,2025-03-13,103,1133,0.11,"This is a Manager Graphic Designer position requiring expertise in Photoshop, Unreal Engine, 3D Modeling, Color Theory. The ideal candidate should have strong Adaptability, Attention to Detail skills and be Organized, Risk-taker, Visionary."
10,Project Manager,Business,Company 10,South America,Lima,222692,Director,Certification,"Business Intelligence, Tableau, Marketing","Attention to Detail, Communication, Time Management","Innovative, Collaborative, Task-oriented",On-site,Startup (1-50),Stable Growth,2025-03-27,16,80,0.28,"This is a Director Project Manager position requiring expertise in Business Intelligence, Tableau, Marketing. The ideal candidate should have strong Attention to Detail, Communication, Time Management skills and be Innovative, Collaborative, Task-oriented."
11,Materials Scientist,Science & Research,Company 11,Africa,Nairobi,208623,Director,Bachelor's Degree,"Experimental Design, R, Scientific Writing","Attention to Detail, Conflict Resolution","Analytical, Methodical",Flexible,Medium (201-1000),Emerging Field,2025-03-25,491,7365,0.35,"This is a Director Materials Scientist position requiring expertise in Experimental Design, R, Scientific Writing. The ideal candidate should have strong Attention to Detail, Conflict Resolution skills and be Analytical, Methodical."
12,Physicist,Science & Research,Company 12,Africa,Lagos,76995,Entry-level,Associate's Degree,"Scientific Writing, Research Methods, Python","Critical Thinking, Conflict Resolution","Methodical, Innovative",On-site,Small (51-200),High Growth,2025-03-25,311,4043,0.28,"This is a Entry-level Physicist position requiring expertise in Scientific Writing, Research Methods, Python. The ideal candidate should have strong Critical Thinking, Conflict Resolution skills and be Methodical, Innovative."
13,Research Scientist,Science & Research,Company 13,North America,Seattle,58896,Entry-level,High School,"Scientific Instrumentation, Research Methods, Data Analysis, R, Scientific Writing, Python","Interpersonal Skills, Leadership","Organized, Analytical",Flexible,Startup (1-50),Moderate Growth,2025-03-31,89,623,0.36,"This is a Entry-level Research Scientist position requiring expertise in Scientific Instrumentation, Research Methods, Data Analysis, R, Scientific Writing, Python. The ideal candidate should have strong Interpersonal Skills, Leadership skills and be Organized, Analytical."
14,Content Creator,Creative Arts,Company 14,North America,Seattle,203213,Director,Bachelor's Degree,"Photoshop, After Effects, Sketch, Unreal Engine","Critical Thinking, Leadership, Work Ethic","Collaborative, Independent",Flexible,Large (1000+),High Growth,2025-03-09,130,1690,0.25,"This is a Director Content Creator position requiring expertise in Photoshop, After Effects, Sketch, Unreal Engine. The ideal candidate should have strong Critical Thinking, Leadership, Work Ethic skills and be Collaborative, Independent."
15,Mobile Developer,Technology,Company 15,Africa,Cairo,193319,Director,Associate's Degree,"CI/CD, Kubernetes, Machine Learning, JavaScript, React, Java","Work Ethic, Time Management, Self-Motivation","Creative, Outgoing",Flexible,Large (1000+),Slow Growth,2025-03-27,371,2226,0.34,"This is a Director Mobile Developer position requiring expertise in CI/CD, Kubernetes, Machine Learning, JavaScript, React, Java. The ideal candidate should have strong Work Ethic, Time Management, Self-Motivation skills and be Creative, Outgoing."
16,Business Analyst,Business,Company 16,Africa,Cape Town,135481,Manager,PhD,"Microsoft Excel, CRM Software, Business Intelligence, PowerBI, Google Analytics","Creativity, Time Management","Creative, Innovative",Flexible,Enterprise (10000+),Emerging Field,2025-03-22,447,4023,0.05,"This is a Manager Business Analyst position requiring expertise in Microsoft Excel, CRM Software, Business Intelligence, PowerBI, Google Analytics. The ideal candidate should have strong Creativity, Time Management skills and be Creative, Innovative."
17,Pharmacist,Healthcare,Company 17,Asia,Bangalore,188039,Manager,Master's Degree,"Medical Software, Clinical Assessment, Biology, Medical Terminology, Patient Care","Creativity, Interpersonal Skills, Problem Solving, Communication","Analytical, Cautious",Flexible,Enterprise (10000+),Slow Growth,2025-04-02,396,5148,0.23,"This is a Manager Pharmacist position requiring expertise in Medical Software, Clinical Assessment, Biology, Medical Terminology, Patient Care. The ideal candidate should have strong Creativity, Interpersonal Skills, Problem Solving, Communication skills and be Analytical, Cautious."
18,Mobile Developer,Technology,Company 18,Asia,Bangalore,335539,Executive,Bachelor's Degree,"CI/CD, C++, Kubernetes","Teamwork, Creativity, Conflict Resolution","Practical, Methodical, People-oriented",Hybrid,Medium (201-1000),Slow Growth,2025-03-28,235,3525,0.15,"This is a Executive Mobile Developer position requiring expertise in CI/CD, C++, Kubernetes. The ideal candidate should have strong Teamwork, Creativity, Conflict Resolution skills and be Practical, Methodical, People-oriented."
19,Academic Advisor,Education,Company 19,Africa,Nairobi,48037,Entry-level,Bachelor's Degree,"Learning Management Systems, Curriculum Development, Educational Technology, Assessment","Leadership, Emotional Intelligence","Collaborative, Cautious",Hybrid,Small (51-200),Stable Growth,2025-03-31,345,3795,0.12,"This is a Entry-level Academic Advisor position requiring expertise in Learning Management Systems, Curriculum Development, Educational Technology, Assessment. The ideal candidate should have strong Leadership, Emotional Intelligence skills and be Collaborative, Cautious."
20,Animator,Creative Arts,Company 20,Asia,Shanghai,137768,Senior,Master's Degree,"Color Theory, After Effects, Photoshop, 3D Modeling, Sketch","Time Management, Critical Thinking","Visionary, Collaborative",Flexible,Small (51-200),Moderate Growth,2025-03-18,310,2790,0.14,"This is a Senior Animator position requiring expertise in Color Theory, After Effects, Photoshop, 3D Modeling, Sketch. The ideal candidate should have strong Time Management, Critical Thinking skills and be Visionary, Collaborative."
21,Pharmacist,Healthcare,Company 21,Asia,Bangalore,65943,Entry-level,Bachelor's Degree,"Medical Terminology, Biology, Chemistry","Communication, Negotiation","Creative, Task-oriented",Hybrid,Enterprise (10000+),Emerging Field,2025-03-11,300,2700,0.24,"This is a Entry-level Pharmacist position requiring expertise in Medical Terminology, Biology, Chemistry. The ideal candidate should have strong Communication, Negotiation skills and be Creative, Task-oriented."
22,Academic Advisor,Education,Company 22,Africa,Johannesburg,136744,Senior,High School,"Learning Management Systems, Educational Technology, Online Course Development, Instructional Design, Classroom Management","Adaptability, Attention to Detail, Creativity, Critical Thinking","Adaptable, People-oriented",Flexible,Small (51-200),Emerging Field,2025-03-25,18,144,0.31,"This is a Senior Academic Advisor position requiring expertise in Learning Management Systems, Educational Technology, Online Course Development, Instructional Design, Classroom Management. The ideal candidate should have strong Adaptability, Attention to Detail, Creativity, Critical Thinking skills and be Adaptable, People-oriented."
23,Registered Nurse,Healthcare,Company 23,Europe,Dublin,62787,Entry-level,Bachelor's Degree,"Clinical Assessment, Medical Software, Chemistry, Patient Care","Time Management, Creativity, Negotiation","Detail-oriented, Adaptable",On-site,Enterprise (10000+),Stable Growth,2025-03-18,273,1911,0.12,"This is a Entry-level Registered Nurse position requiring expertise in Clinical Assessment, Medical Software, Chemistry, Patient Care. The ideal candidate should have strong Time Management, Creativity, Negotiation skills and be Detail-oriented, Adaptable."
